Customer ID	Customer Name	Segment	Age	Country	City	State	Postal Code	Region
PB-19210	Phillip Breyer	Corporate	32	United States	Tulsa	Oklahoma	74133	Central
JL-15235	Janet Lee	Consumer	29	United States	Chicago	Illinois	60623	Central
JC-15775	John Castell	Consumer	22	United States	San Antonio	Texas	78207	Central
AC-10450	Amy Cox	Consumer	46	United States	Minneapolis	Minnesota	55407	Central
MD-17860	Michael Dominguez	Corporate	21	United States	Indianapolis	Indiana	46203	Central
SC-20230	Scot Coram	Corporate	20	United States	Arlington	Texas	76017	Central
JD-16015	Joy Daniels	Consumer	23	United States	Chicago	Illinois	60610	Central
JS-16030	Joy Smith	Consumer	51	United States	Houston	Texas	77036	Central
SC-20800	Stuart Calhoun	Consumer	20	United States	Houston	Texas	77041	Central
CT-11995	Carol Triggs	Consumer	57	United States	Rochester	Minnesota	55901	Central
TB-21625	Trudy Brown	Consumer	63	United States	Grand Prairie	Texas	75051	Central
AF-10870	Art Ferguson	Consumer	63	United States	College Station	Texas	77840	Central
RB-19435	Richard Bierner	Consumer	18	United States	Saint Louis	Missouri	63116	Central
AW-10930	Arthur Wiediger	Home Office	58	United States	Aurora	Illinois	60505	Central
DB-13405	Denny Blanton	Consumer	41	United States	La Porte	Indiana	46350	Central
EM-13825	Elizabeth Moffitt	Corporate	63	United States	Sioux Falls	South Dakota	57103	Central
CR-12580	Clay Rozendal	Home Office	52	United States	Elmhurst	Illinois	60126	Central
SC-20575	Sonia Cooley	Consumer	58	United States	Mishawaka	Indiana	46544	Central
LS-17200	Luke Schmidt	Corporate	59	United States	Skokie	Illinois	60076	Central
TT-21220	Thomas Thornton	Consumer	47	United States	Houston	Texas	77041	Central
CM-12235	Chris McAfee	Consumer	35	United States	Carrollton	Texas	75007	Central
MC-17635	Matthew Clasen	Corporate	49	United States	Saint Louis	Missouri	63116	Central
CL-12700	Craig Leslie	Home Office	36	United States	Springfield	Missouri	65807	Central
HG-15025	Hunter Glantz	Consumer	30	United States	Amarillo	Texas	79109	Central
MO-17950	Michael Oakman	Consumer	35	United States	Dallas	Texas	75220	Central
AC-10660	Anna Chung	Consumer	30	United States	Huntsville	Texas	77340	Central
VF-21715	Vicky Freymann	Home Office	59	United States	Columbus	Indiana	47201	Central
JB-16000	Joy Bell-	Consumer	46	United States	Brownsville	Texas	78521	Central
DM-12955	Dario Medina	Corporate	26	United States	Lincoln Park	Michigan	48146	Central
SW-20350	Sean Wendt	Home Office	51	United States	Detroit	Michigan	48227	Central
RE-19450	Richard Eichhorn	Consumer	30	United States	Dallas	Texas	75081	Central
PT-19090	Pete Takahito	Consumer	48	United States	Houston	Texas	77070	Central
JL-15130	Jack Lebron	Consumer	63	United States	Houston	Texas	77036	Central
DW-13195	David Wiener	Corporate	55	United States	Houston	Texas	77095	Central
SJ-20215	Sarah Jordon	Consumer	50	United States	Grand Prairie	Texas	75051	Central
LB-16795	Laurel Beltran	Home Office	18	United States	Highland Park	Illinois	60035	Central
CM-11815	Candace McMahon	Corporate	28	United States	Pasadena	Texas	77506	Central
CS-12490	Cindy Schnelling	Corporate	32	United States	Conroe	Texas	77301	Central
RD-19930	Russell D'Ascenzo	Consumer	67	United States	Austin	Texas	78745	Central
SC-20020	Sam Craven	Consumer	56	United States	Plano	Texas	75023	Central
FC-14335	Fred Chung	Corporate	64	United States	Mesquite	Texas	75150	Central
NC-18535	Nick Crebassa	Corporate	59	United States	Dallas	Texas	75217	Central
DK-12895	Dana Kaydos	Consumer	47	United States	Kenosha	Wisconsin	53142	Central
DD-13570	Dorothy Dickinson	Consumer	32	United States	Houston	Texas	77041	Central
SG-20890	Susan Gilcrest	Corporate	41	United States	Mcallen	Texas	78501	Central
AH-10585	Angele Hood	Consumer	34	United States	Chicago	Illinois	60623	Central
NF-18475	Neil Franzosisch	Home Office	55	United States	Rockford	Illinois	61107	Central
TM-21490	Tony Molinari	Consumer	63	United States	Oklahoma City	Oklahoma	73120	Central
NR-18550	Nick Radford	Consumer	21	United States	Aurora	Illinois	60505	Central
JK-15325	Jason Klamczynski	Corporate	69	United States	Dallas	Texas	75220	Central
DM-13525	Don Miller	Corporate	18	United States	Houston	Texas	77070	Central
JK-16090	Juliana Krohn	Consumer	51	United States	Omaha	Nebraska	68104	Central
TS-21655	Trudy Schmidt	Consumer	21	United States	Milwaukee	Wisconsin	53209	Central
LD-16855	Lela Donovan	Corporate	52	United States	Chicago	Illinois	60653	Central
CM-12715	Craig Molinari	Corporate	53	United States	Huntsville	Texas	77340	Central
HE-14800	Harold Engle	Corporate	31	United States	Chicago	Illinois	60623	Central
RS-19870	Roy Skaria	Home Office	39	United States	Burlington	Iowa	52601	Central
SC-20845	Sung Chung	Consumer	69	United States	Arlington Heights	Illinois	60004	Central
